epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,263.845,3.85401,10.4329,0.08453,0.00051,0.06391,0.00013,2e-05,4.73384,12.1244,0.14565,0.0099835,0.00332783,0.0099835,0.00332783,0.0767052,0.0700495,0.0099835,0.00332783
2,471.778,3.4618,5.74775,0.07698,0.00216,0.35914,0.00797,0.0015,3.17832,3.45568,0.09909,0.0194889,0.0064963,0.0194889,0.0064963,0.0528772,0.0398846,0.0194889,0.0064963
3,667.47,2.74753,4.13916,0.0599,0.1115,0.07788,0.04676,0.01299,2.28254,3.54347,0.06612,0.0284993,0.00949977,0.0284993,0.00949977,0.0285543,0.00955478,0.0284993,0.00949977
4,860.357,2.09126,3.21955,0.04151,0.28457,0.32955,0.22548,0.10196,1.71268,2.65415,0.04643,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,1052.72,1.84762,2.60265,0.03573,0.39254,0.44939,0.39853,0.20898,1.66052,1.99648,0.04518,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,1245.21,1.71747,2.25549,0.03282,0.49666,0.51445,0.48733,0.2872,1.51613,1.68745,0.04163,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,1437.59,1.63489,2.02873,0.0305,0.52848,0.5625,0.55336,0.35436,1.33395,1.5073,0.03551,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,1631.11,1.55433,1.87145,0.02885,0.60861,0.57224,0.61827,0.4195,1.26804,1.31078,0.03311,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,1824.19,1.49547,1.73282,0.02762,0.61963,0.61225,0.63244,0.42355,1.27711,1.28142,0.03351,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,2016.54,1.45138,1.59963,0.0268,0.74915,0.63883,0.7371,0.5376,1.11901,1.00189,0.02881,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,2208.84,1.40847,1.52044,0.02562,0.73385,0.64863,0.73156,0.54177,1.06343,1.05005,0.02684,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
