epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,273.187,3.691,7.73134,0.08104,0.33651,0.02825,0.00168,0.00035,3.66944,6.06862,0.11238,0.0099835,0.00332783,0.0099835,0.00332783,0.0767052,0.0700495,0.0099835,0.00332783
2,480.513,2.8604,4.28599,0.06148,0.11313,0.062,0.06606,0.01751,2.21582,3.29044,0.06429,0.0194889,0.0064963,0.0194889,0.0064963,0.0528772,0.0398846,0.0194889,0.0064963
3,674.72,2.13726,3.18713,0.04373,0.2145,0.2954,0.17266,0.06629,1.89063,2.74733,0.05389,0.0284993,0.00949977,0.0284993,0.00949977,0.0285543,0.00955478,0.0284993,0.00949977
4,866.009,1.84403,2.50499,0.03629,0.44718,0.41302,0.39774,0.21224,1.64318,2.00224,0.04606,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,1057.37,1.69553,2.11025,0.03291,0.5182,0.4889,0.49247,0.29424,1.50375,1.63321,0.04225,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,1248.94,1.57115,1.88065,0.03,0.57204,0.53126,0.56064,0.35111,1.3525,1.52217,0.0372,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,1441.07,1.50426,1.70231,0.02834,0.69887,0.53062,0.62674,0.40937,1.30452,1.28966,0.03633,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,1631.66,1.44699,1.58626,0.02714,0.68241,0.59268,0.66669,0.44046,1.33252,1.21086,0.03698,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,1822.43,1.38416,1.48519,0.02587,0.68157,0.59228,0.66698,0.47738,1.13615,1.23374,0.03053,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,2012.82,1.34489,1.41079,0.02503,0.61525,0.64073,0.68327,0.48007,1.20236,1.16029,0.03304,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,2203.49,1.31169,1.34197,0.02418,0.74253,0.66396,0.77145,0.56512,1.08025,0.91502,0.02919,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,2394.42,1.26729,1.29008,0.02286,0.79091,0.6525,0.78801,0.58774,1.03689,0.88462,0.02739,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,2585.2,1.23664,1.24994,0.02269,0.74297,0.69718,0.78761,0.60023,0.96685,0.89663,0.02547,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,2775.76,1.21504,1.21422,0.02172,0.80089,0.73727,0.8328,0.63705,0.9602,0.7767,0.02535,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,2966.71,1.17456,1.15366,0.02123,0.80119,0.74157,0.83995,0.64705,0.94324,0.78461,0.0251,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
