epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,258.15,3.76521,9.03771,0.0825,0.00573,0.05491,0.00172,0.00033,4.02703,3.59583,0.12259,0.0099835,0.00332783,0.0099835,0.00332783,0.0767052,0.0700495,0.0099835,0.00332783
2,465.461,3.33092,4.65064,0.07428,0.00161,0.47782,0.00197,0.00045,3.1162,5.99196,0.10139,0.0194889,0.0064963,0.0194889,0.0064963,0.0528772,0.0398846,0.0194889,0.0064963
3,657.355,2.39894,3.38831,0.05021,0.23258,0.19342,0.13528,0.04726,2.01736,2.99673,0.05701,0.0284993,0.00949977,0.0284993,0.00949977,0.0285543,0.00955478,0.0284993,0.00949977
4,845.42,1.9303,2.55152,0.03808,0.43732,0.40913,0.39439,0.20753,1.6401,2.14854,0.04629,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,1037.73,1.71078,2.0677,0.033,0.48934,0.51299,0.51998,0.2965,1.50872,1.60623,0.04059,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,1234.75,1.57572,1.81657,0.02977,0.56403,0.5727,0.56409,0.36268,1.33986,1.41316,0.03633,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,1427.29,1.49189,1.66499,0.02774,0.60856,0.62473,0.62974,0.42211,1.23272,1.2481,0.03301,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,1614.64,1.41596,1.5498,0.02612,0.61679,0.50589,0.5605,0.37815,1.2852,1.53406,0.0347,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,1801.77,1.36561,1.45202,0.02511,0.65424,0.6261,0.68382,0.49389,1.08214,1.09555,0.02839,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,1995.01,1.2996,1.37157,0.02373,0.67316,0.64353,0.71239,0.51895,1.07266,1.03822,0.02791,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,2205.55,1.28146,1.32597,0.02329,0.73551,0.70736,0.79857,0.59457,1.03135,0.82853,0.02679,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,2395.84,1.24885,1.25926,0.02222,0.72974,0.72477,0.81012,0.61376,0.96932,0.81307,0.02456,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,2582.59,1.2137,1.21497,0.02202,0.76648,0.73853,0.79423,0.61646,0.90356,0.77376,0.02329,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,2768.7,1.18752,1.17396,0.02101,0.77815,0.77642,0.844,0.65447,0.89213,0.70117,0.02257,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,2955.22,1.1532,1.13819,0.02049,0.80361,0.7447,0.83904,0.6599,0.87651,0.72951,0.02216,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,3141.52,1.12824,1.1305,0.01989,0.76473,0.78863,0.85574,0.67191,0.89841,0.70491,0.0234,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,3327.49,1.13119,1.05061,0.02019,0.7788,0.79175,0.85999,0.68534,0.86416,0.66407,0.02186,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,3513.82,1.09827,1.05099,0.01915,0.80352,0.76196,0.85772,0.69231,0.81026,0.74246,0.02058,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,3699.78,1.07245,1.01743,0.019,0.85866,0.82248,0.90068,0.72976,0.78395,0.54497,0.0196,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
20,3885.95,1.0634,1.01579,0.01859,0.80428,0.8045,0.87916,0.70677,0.81026,0.61585,0.02053,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
21,4071.97,1.03847,0.97438,0.01816,0.85727,0.82528,0.90024,0.73707,0.75263,0.54189,0.01871,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,4257.73,1.02176,0.93721,0.01766,0.83204,0.80751,0.88684,0.73101,0.74083,0.56679,0.01842,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
23,4443.45,1.00662,0.91992,0.01736,0.82622,0.84967,0.90015,0.74147,0.73325,0.54713,0.01828,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
24,4630.6,1.00498,0.90799,0.01714,0.86653,0.85141,0.91754,0.76001,0.73199,0.49751,0.01847,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
25,4831.73,0.99343,0.88859,0.0171,0.87832,0.82417,0.91445,0.76603,0.70552,0.49306,0.01744,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
26,5040.87,0.97425,0.87601,0.01684,0.87007,0.85552,0.92277,0.77649,0.68427,0.4803,0.01677,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
27,5249.49,0.94839,0.84833,0.01619,0.87901,0.8632,0.92664,0.77797,0.69933,0.45828,0.01719,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
28,5458.64,0.94481,0.83561,0.0162,0.90949,0.88153,0.93915,0.79343,0.67197,0.41398,0.01637,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
29,5651.05,0.92656,0.80234,0.01554,0.89199,0.89927,0.94471,0.79314,0.6808,0.38668,0.01673,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
30,5847.97,0.90605,0.78027,0.01532,0.89768,0.86778,0.93858,0.79781,0.65445,0.43073,0.01574,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
31,6082.58,0.71762,0.48938,0.01769,0.90403,0.90034,0.94317,0.80193,0.63562,0.40903,0.01497,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,6276.7,0.68489,0.43585,0.01625,0.90583,0.90419,0.94669,0.81414,0.62686,0.40298,0.01469,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,6474.29,0.66813,0.42755,0.01589,0.93088,0.885,0.9463,0.8164,0.62779,0.38086,0.0149,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,6662.89,0.65971,0.38688,0.01549,0.92659,0.9104,0.95105,0.82617,0.60214,0.36845,0.014,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,6855.95,0.63259,0.3721,0.01474,0.9324,0.8933,0.95656,0.82336,0.6176,0.35655,0.01447,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,7050.61,0.62426,0.35884,0.01468,0.92976,0.89812,0.95052,0.82745,0.5842,0.35802,0.01346,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,7244.8,0.61279,0.35028,0.01428,0.92549,0.92312,0.95093,0.83337,0.57584,0.35148,0.0133,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,7438.69,0.59908,0.33209,0.01395,0.93606,0.90846,0.95164,0.83333,0.58368,0.35226,0.01357,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,7632.46,0.59297,0.32757,0.01367,0.93424,0.90348,0.95065,0.83222,0.57665,0.35614,0.01322,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,7826.42,0.57936,0.3121,0.01321,0.9421,0.88151,0.95003,0.83606,0.56845,0.36553,0.01308,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
